03/04/2021 10:06:58 Application starting up
03/04/2021 10:07:02 You requested the Index page.
03/04/2021 10:07:02 The value of i is 0
03/04/2021 10:07:02 The value of i is 1
03/04/2021 10:07:02 The value of i is 2
03/04/2021 10:07:02 The value of i is 3
03/04/2021 10:07:02 The value of i is 4
03/04/2021 10:07:02 The value of i is 5
03/04/2021 10:07:02 The value of i is 6
03/04/2021 10:07:02 The value of i is 7
03/04/2021 10:07:02 The value of i is 8
03/04/2021 10:07:02 The value of i is 9
03/04/2021 10:07:02 The value of i is 10
03/04/2021 10:07:02 The value of i is 11
03/04/2021 10:07:02 The value of i is 12
03/04/2021 10:07:02 The value of i is 13
03/04/2021 10:07:02 The value of i is 14
03/04/2021 10:07:02 The value of i is 15
03/04/2021 10:07:02 The value of i is 16
03/04/2021 10:07:02 The value of i is 17
03/04/2021 10:07:02 The value of i is 18
03/04/2021 10:07:02 The value of i is 19
03/04/2021 10:07:02 The value of i is 20
03/04/2021 10:07:02 The value of i is 21
03/04/2021 10:07:02 The value of i is 22
03/04/2021 10:07:02 The value of i is 23
03/04/2021 10:07:02 The value of i is 24
03/04/2021 10:07:02 The value of i is 25
03/04/2021 10:07:02 The value of i is 26
03/04/2021 10:07:02 The value of i is 27
03/04/2021 10:07:02 The value of i is 28
03/04/2021 10:07:02 The value of i is 29
03/04/2021 10:07:02 The value of i is 30
03/04/2021 10:07:02 The value of i is 31
03/04/2021 10:07:02 The value of i is 32
03/04/2021 10:07:02 The value of i is 33
03/04/2021 10:07:02 The value of i is 34
03/04/2021 10:07:02 The value of i is 35
03/04/2021 10:07:02 The value of i is 36
03/04/2021 10:07:02 The value of i is 37
03/04/2021 10:07:02 The value of i is 38
03/04/2021 10:07:02 The value of i is 39
03/04/2021 10:07:02 The value of i is 40
03/04/2021 10:07:02 The value of i is 41
03/04/2021 10:07:02 The value of i is 42
03/04/2021 10:07:02 The value of i is 43
03/04/2021 10:07:02 The value of i is 44
03/04/2021 10:07:02 The value of i is 45
03/04/2021 10:07:02 The value of i is 46
03/04/2021 10:07:02 The value of i is 47
03/04/2021 10:07:02 The value of i is 48
03/04/2021 10:07:02 The value of i is 49
03/04/2021 10:07:02 The value of i is 50
03/04/2021 10:07:02 The value of i is 51
03/04/2021 10:07:02 The value of i is 52
03/04/2021 10:07:02 The value of i is 53
03/04/2021 10:07:02 The value of i is 54
03/04/2021 10:07:02 The value of i is 55
03/04/2021 10:07:02 We caught this exception in the Index Get Call
System.Exception: This is our demo exception
   at StructuredLogging.Pages.IndexModel.OnGet() in D:\Self-Training\Website\.NET Core Website\StructuredLoggingApp\StructuredLogging\Pages\Index.cshtml.cs:line 33
03/04/2021 10:07:02 HTTP "GET" "/" responded 200 in 552.2542 ms
03/04/2021 10:15:02 Application starting up
03/04/2021 10:15:06 You requested the Index page.
03/04/2021 10:15:06 The value of i is 0
03/04/2021 10:15:06 The value of i is 1
03/04/2021 10:15:06 The value of i is 2
03/04/2021 10:15:06 The value of i is 3
03/04/2021 10:15:06 The value of i is 4
03/04/2021 10:15:06 The value of i is 5
03/04/2021 10:15:06 The value of i is 6
03/04/2021 10:15:06 The value of i is 7
03/04/2021 10:15:06 The value of i is 8
03/04/2021 10:15:06 The value of i is 9
03/04/2021 10:15:06 The value of i is 10
03/04/2021 10:15:06 The value of i is 11
03/04/2021 10:15:06 The value of i is 12
03/04/2021 10:15:06 The value of i is 13
03/04/2021 10:15:06 The value of i is 14
03/04/2021 10:15:06 The value of i is 15
03/04/2021 10:15:06 The value of i is 16
03/04/2021 10:15:06 The value of i is 17
03/04/2021 10:15:06 The value of i is 18
03/04/2021 10:15:06 The value of i is 19
03/04/2021 10:15:06 The value of i is 20
03/04/2021 10:15:06 The value of i is 21
03/04/2021 10:15:06 The value of i is 22
03/04/2021 10:15:06 The value of i is 23
03/04/2021 10:15:06 The value of i is 24
03/04/2021 10:15:06 The value of i is 25
03/04/2021 10:15:06 The value of i is 26
03/04/2021 10:15:06 The value of i is 27
03/04/2021 10:15:06 The value of i is 28
03/04/2021 10:15:06 The value of i is 29
03/04/2021 10:15:06 The value of i is 30
03/04/2021 10:15:06 The value of i is 31
03/04/2021 10:15:06 The value of i is 32
03/04/2021 10:15:06 The value of i is 33
03/04/2021 10:15:06 The value of i is 34
03/04/2021 10:15:06 The value of i is 35
03/04/2021 10:15:06 The value of i is 36
03/04/2021 10:15:06 The value of i is 37
03/04/2021 10:15:06 The value of i is 38
03/04/2021 10:15:06 The value of i is 39
03/04/2021 10:15:06 The value of i is 40
03/04/2021 10:15:06 The value of i is 41
03/04/2021 10:15:06 The value of i is 42
03/04/2021 10:15:06 The value of i is 43
03/04/2021 10:15:06 The value of i is 44
03/04/2021 10:15:06 The value of i is 45
03/04/2021 10:15:06 The value of i is 46
03/04/2021 10:15:06 The value of i is 47
03/04/2021 10:15:06 The value of i is 48
03/04/2021 10:15:06 The value of i is 49
03/04/2021 10:15:06 The value of i is 50
03/04/2021 10:15:06 The value of i is 51
03/04/2021 10:15:06 The value of i is 52
03/04/2021 10:15:06 The value of i is 53
03/04/2021 10:15:06 The value of i is 54
03/04/2021 10:15:06 The value of i is 55
03/04/2021 10:15:06 We caught this exception in the Index Get Call
System.Exception: This is our demo exception
   at StructuredLogging.Pages.IndexModel.OnGet() in D:\Self-Training\Website\.NET Core Website\StructuredLoggingApp\StructuredLogging\Pages\Index.cshtml.cs:line 33
03/04/2021 10:15:07 HTTP "GET" "/" responded 200 in 627.1856 ms
